Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
The Hon. Thomas Dickson Archibald, Senator;1813-04-08;Onslow, Nova Scotia, United Kingdom;1890-10-18 (Died in Office);merchant;8397 days [22 year(s), 11 month(s), 27 day(s)];;;;(1867-10-23 - 1890-10-18);8397 days [22 year(s), 11 month(s), 27 day(s)];;;
The Hon. Hazen Robert Argue, P.C., M.P., Senator;1921-01-06;Moose Jaw, Saskatchewan, Canada;1991-10-02 (Died in Office);farmer;15862 days [43 year(s), 5 month(s), 4 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1963-04-07);6510 days [17 year(s), 9 month(s), 27 day(s)];;(1966-02-24 - 1991-10-02);9352 days [25 year(s), 7 month(s), 8 day(s)];;;
Ira Eugene Argue, M.P.;1865;Victoria County, Canada West;1927-08-05;farmer, businessman;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;;;
Thomas Arkell, M.P.;1823-11-10;Gloucestershire, England;1906-02-02;farmer, grain merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
The Hon. Joseph François Armand, Senator;1820-12-14;Rivière-des-Prairies, Lower Canada;1903-01-01 (Died in Office);farmer;12854 days [35 year(s), 2 month(s), 9 day(s)];;;;(1867-10-23 - 1903-01-01);12854 days [35 year(s), 2 month(s), 9 day(s)];Baptized Joseph-Flavien Armand.;;
Lt. Col. Ernest Frederick Armstrong, M.P.;1878-07-14;Flesherton, Ontario, Canada;1948-03-14;dental surgeon;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;;;
Frederick Thomas Armstrong, M.P.;1907-11-19;Bell Neck, Nova Scotia, Canada;1990-11-02;office manager, real estate agent, automobile dealer;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;;;;;
James Armstrong, M.P.;1830-03-01;Queensbury, New Brunswick, Canada;1893-01-26 (Died in Office);farmer;3874 days [10 year(s), 7 month(s), 9 day(s)];(1882-06-20 - 1893-01-26);3874 days [10 year(s), 7 month(s), 9 day(s)];;;;;;
John Alexander Macdonald Armstrong, M.P.;1877-11-19;King Township, Ontario, Canada;1926-02-02;real estate agent, conveyancer;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;;
Joseph Elijah Armstrong, M.P.;1864-11-09;York County, Canada West;1931-01-31;manufacturer, farmer, oilman;6823 days [18 year(s), 8 month(s), 6 day(s)];(1904-02-16 - 1921-12-05)|(1925-10-29 - 1926-09-13);6823 days [18 year(s), 8 month(s), 6 day(s)];;;;;;
Scott Armstrong, M.P.;1966-07-09;Truro, Nova Scotia, Canada;;educator, school principal;2170 days [5 year(s), 11 month(s), 9 day(s)];(2009-11-09 - 2015-10-18);2170 days [5 year(s), 11 month(s), 9 day(s)];;;;;;
Mel Arnold, M.P.;1958;Notch Hill, British Columbia, Canada;;business owner;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;English;
The Hon. David M. Arnot, Senator;;;;lawyer, judge;1735 days [4 year(s), 9 month(s)];;;;(2021-07-29 - );1735 days [4 year(s), 9 month(s)];Bestowed the Queen Elizabeth II's Golden Jubilee Medal in 2002.;English;
Ian MacLachlan Arrol, M.P.;1924-02-20;Vanderhoof, British Columbia, Canada;2000-06-16;radio announcer, reporter, teacher;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
Bona Arsenault, M.P.;1903-10-04;Bonaventure, Quebec, Canada;1993-07-04;business manager, public relations officer, editor, insurance broker, author, journalist, insurance agent;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;;;
The Hon. Joseph Octave Arsenault, Senator;1828-08-05;Cascumpeque, Prince Edward Island, Canada;1897-12-14 (Died in Office);farmer, merchant, teacher;1031 days [2 year(s), 9 month(s), 27 day(s)];;;;(1895-02-18 - 1897-12-14);1031 days [2 year(s), 9 month(s), 27 day(s)];First Acadian from Prince Edward Island appointed to the Senate. (Source Dictionary of Canadian Biography Online)Father of Aubin-Edmond, Prince Edouard Island Premier (1917-1919) and of Joseph-Félix, Member of the Legislative Assembly of Prince Edouard Island (1897-1904);;
Nérée Arsenault, M.P.;1911-08-28;Bonaventure, Quebec, Canada;1982-01-18;forest engineer;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;;;
Telesphore Arsenault, M.P.;1872-01-01;Egmont Bay, Prince Edward Island, Canada;1964-01-13;farmer, business manager;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;;
Guy H. Arseneault, M.P.;1952-05-11;Dalhousie, New Brunswick, Canada;;teacher;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1989-12-28)|(1989-12-29 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;;;
René Arseneault, M.P.;1966-07-01;;;lawyer;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
André Arthur, M.P.;1943-12-21;Québec, Quebec, Canada;2022-05-08;radio host, journalist;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;;;
The Hon. Lt. Col. James Arthurs, M.P., Senator;1866-10-04;Toronto, Canada West;1937-10-07 (Died in Office);gentleman, merchant;10574 days [28 year(s), 11 month(s), 12 day(s)];(1908-10-26 - 1935-07-19);9763 days [26 year(s), 8 month(s), 24 day(s)];;(1935-07-20 - 1937-10-07);811 days [2 year(s), 2 month(s), 20 day(s)];;;
Chandra Arya, M.P.;;;;business executive, engineer, industrial development consultant, entrepreneur, investment banker, investment advisor;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
The Hon. Walter Morley Aseltine, , Q.C., P.C., Senator;1886-09-03;Napanee, Ontario, Canada;1971-11-14;farmer, lawyer;13606 days [37 year(s), 3 month(s), 1 day(s)];;;;(1933-12-30 - 1971-03-31);13606 days [37 year(s), 3 month(s), 1 day(s)];;;
Thomas Gordon William Ashbourne, M.P.;1894-12-04;Twillingate, Newfoundland, Canada;1984-03-08;director;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;;;
Patrick Harvey Ashby, M.P.;1890-10-17;Sussex, England;1985-01-29;farmer, rancher;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;;
The Hon. Keith Ashfield, P.C., M.P.;1952-03-28;Fredericton, New Brunswick, Canada;2018-04-22;businessman;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;;
Niki Ashton, M.P.;1982-09-09;Thompson, Manitoba, Canada;;lecturer, instructor, researcher;6040 days [16 year(s), 6 month(s), 13 day(s)];(2008-10-14 - 2015-10-18)|(2015-10-19 - 2025-04-27);6040 days [16 year(s), 6 month(s), 13 day(s)];;;;;;
Jay Aspin, M.P.;1949-08-19;Westmount, Quebec, Canada;;public servant, business development consultant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Mark Joseph Assad, M.P.;1940-06-14;Buckingham, Quebec, Canada;;administrator, teacher;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;;;
Sarkis Assadourian, M.P.;1948-01-25;Aleppo, Syria;;executive director, contractor, businessman, citizenship judge;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;First Canadian of Armenian origin elected to the House of Commons. (Source Encyclopedia of Canada's peoples);;
Edmund Tobin Asselin, M.P.;1920-09-26;Bromptonville, Quebec, Canada;1999-03-24;administrator, businessman;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;;;
Gérard Asselin, M.P.;1950-04-19;Sainte-Flavie, Quebec, Canada;2013-02-09;foreman;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2004-06-27)|(2004-06-28 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;;;
Joseph Patrick Tobin Asselin, M.P.;1930-03-29;Québec, Quebec, Canada;2005-08-31;farmer, administrator;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;;;
The Right Hon. Martial Asselin, P.C., Q.C., M.P., Senator;1924-02-03;La Malbaie, Quebec, Canada;2013-01-25;lawyer;10579 days [28 year(s), 11 month(s), 17 day(s)];(1958-03-31 - 1962-06-17)|(1965-11-08 - 1972-08-31);4029 days [11 year(s), 11 day(s)];;(1972-09-01 - 1990-08-07);6550 days [17 year(s), 11 month(s), 6 day(s)];;;
Alex Atamanenko, M.P.;1945-01-24;New Westminster, British Columbia, Canada;;recreationist, director, instructor, teacher;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;;
The Hon. Salma Ataullahjan, Senator;;Mardan, Pakistan;;activist, realtor, artist;5773 days [15 year(s), 9 month(s), 20 day(s)];;;;(2010-07-09 - );5773 days [15 year(s), 9 month(s), 20 day(s)];First Canadian of Pakistani origin appointed to the Senate.;English;
The Hon. Ronald George Atkey, P.C., Q.C., M.P.;1942-02-15;Saint John, New Brunswick, Canada;2017-05-09;lawyer, professor of law;888 days [2 year(s), 5 month(s), 6 day(s)];(1972-10-30 - 1974-07-07)|(1979-05-22 - 1980-02-17);888 days [2 year(s), 5 month(s), 6 day(s)];;;;;;
The Hon. Norman Kempton Atkins, Senator;1934-06-27;Montclair, New Jersey, United States;2010-09-28;businessman;8399 days [22 year(s), 11 month(s), 29 day(s)];;;;(1986-06-30 - 2009-06-27);8399 days [22 year(s), 11 month(s), 29 day(s)];;;
Kenneth David Atkinson, M.P.;1947-03-02;St Catharines, Ontario, Canada;;lawyer;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
William (Bill) Attewell, M.P.;1932-01-21;Toronto, Ontario, Canada;2021-12-24;businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1989-12-28)|(1989-12-29 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;;
Jenica Atwin, M.P.;;Oromocto, New Brunswick, Canada;;educator;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
Robert Aubin, M.P.;1960-05-26;Trois-Rivières, Quebec, Canada;;musician, teacher;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;Awarded the title of Officer of the Ordre de la Pléiade in 2023.;;
Antoine Audet, M.P.;1846-12-08;Boucherville, Canada East;1915-06-14;farmer, postmaster;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;;;
The Hon. Michèle Audette, Senator;;Uashat mak Mani-Utenam, Quebec, Canada;;consultant;1735 days [4 year(s), 9 month(s)];;;;(2021-07-29 - );1735 days [4 year(s), 9 month(s)];;French;
Louis Mathias Auger, M.P.;1902-04-03;Contrecoeur, Quebec, Canada;1966-03-06;teacher;920 days [2 year(s), 6 month(s), 7 day(s)];(1926-09-14 - 1929-03-21);920 days [2 year(s), 6 month(s), 7 day(s)];;;;;;
Michel Auger, M.P.;1830-11-18;Sainte-Pie, Lower Canada;1909-05-12;farmer, mill owner;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;;
The Hon. Jean Augustine, P.C., M.P.;1937-09-09;St George's, Grenada;;school principal;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;"First Black woman elected to the House of Commons.
Awarded the Order of Ontario (O.Ont.) in 2005.
Awarded the title of Commander of the British Empire (C.B.E.) in 2014.";;
Samuel Ault, M.P.;1814;Osnabruck, Upper Canada;1895-08-28;warden;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
The Hon. Jack Austin, P.C., K.C., Senator;1932-03-02;Calgary, Alberta, Canada;;lawyer;11519 days [31 year(s), 6 month(s), 13 day(s)];;;;(1975-08-19 - 2007-03-02);11519 days [31 year(s), 6 month(s), 13 day(s)];;;
Hector Authier, M.P.;1881-11-04;L'Ange-Gardien, Quebec, Canada;1971-04-14;mining entrepreneur, journalist, lawyer, land agent;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;;;
Melzar Avery, M.P.;1854-09-30;Junetown, Canada West;1939-06-19;lumber merchant;2476 days [6 year(s), 9 month(s), 11 day(s)];(1902-01-15 - 1904-11-02)|(1904-11-03 - 1908-10-25);2476 days [6 year(s), 9 month(s), 11 day(s)];;;;;;
Christopher (Chris) S. Axworthy, K.C., M.P.;1947-03-10;Plymouth, England;2023-08-11;professor;3826 days [10 year(s), 5 month(s), 22 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 1999-05-13);3826 days [10 year(s), 5 month(s), 22 day(s)];;;;;;
The Hon. Lloyd Axworthy, P.C., M.P.;1939-12-21;North Battleford, Saskatchewan, Canada;;professor, administrator;7860 days [21 year(s), 6 month(s), 7 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 2000-11-26);7860 days [21 year(s), 6 month(s), 7 day(s)];;;;Awarded the Order of Manitoba in 2001.;;
Paulina Ayala, M.P.;1962-06-25;Santiago, Chile;;teacher;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
The Hon. Sir Allen Bristol Aylesworth, P.C., K.C., K.C.M.G., M.P., Senator;1854-11-27;Camden Township, Canada West;1952-02-13 (Died in Office);lawyer;12755 days [34 year(s), 11 month(s), 2 day(s)];(1905-11-22 - 1911-09-20);2129 days [5 year(s), 9 month(s), 29 day(s)];;(1923-01-11 - 1952-02-13);10626 days [29 year(s), 1 month(s), 4 day(s)];;;
Wilbert Ross Aylesworth, M.P.;1892;;1973-02-05;farmer, merchant;4885 days [13 year(s), 4 month(s), 15 day(s)];(1940-03-26 - 1953-08-09);4885 days [13 year(s), 4 month(s), 15 day(s)];;;;;;
The Hon. Henry Aylmer, M.P.;1843-04-25;Melbourne, Canada East;1918-07-28;lawyer;1659 days [4 year(s), 6 month(s), 15 day(s)];(1874-01-22 - 1874-10-24)|(1874-12-04 - 1878-09-16);1659 days [4 year(s), 6 month(s), 15 day(s)];;;;;;
Ramez Ayoub, M.P.;;Aleppo , Syria;;mayor, real estate broker;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
The Hon. Louis François Georges Baby, M.P., P.C.;1832-08-26;Montreal, Quebec, Canada;1906-05-13;lawyer;2887 days [7 year(s), 10 month(s), 26 day(s)];(1872-10-12 - 1874-11-06)|(1874-12-10 - 1878-10-25)|(1878-11-14 - 1880-10-28);2887 days [7 year(s), 10 month(s), 26 day(s)];;;;;;
André Bachand, M.P.;1961-12-08;Québec, Quebec, Canada;;business executive, senior public servant, ambassador, administrator;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;;
André Bachand, M.P.;1934-06-15;Roxton Falls, Quebec, Canada;;lawyer;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;;
Claude Bachand, M.P.;1951-01-03;Saint-Jean-sur-Richelieu, Quebec, Canada;;educator;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;;;
Taylor Bachrach, M.P.;;;;municipal councillor, mayor;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
;;;;;;;;;;;;;
Hubert Badanai, M.P.;1895-01-11;Azzanox, Italy;1986-09-19;manager, automobile dealer;5327 days [14 year(s), 7 month(s), 1 day(s)];(1958-03-31 - 1972-10-29);5327 days [14 year(s), 7 month(s), 1 day(s)];;;;;;
;;;;;;;;;;;;;
The Hon. Larry Bagnell, P.C., M.P.;1949-12-19;Toronto, Ontario, Canada;;executive director;5971 days [16 year(s), 4 month(s), 5 day(s)];(2000-11-27 - 2011-05-01)|(2015-10-19 - 2021-09-19);5971 days [16 year(s), 4 month(s), 5 day(s)];;;;;;
Roy Hardeman Bailey, M.P.;1928-12-16;Radville, Saskatchewan, Canada;2018-12-13;farmer, educational administrator, teacher;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;;
The Hon. Pierre Baillargeon, Senator;1812-11-08;Île-aux-Grues, Lower Canada;1891-12-15 (Died in Office);physician;6473 days [17 year(s), 8 month(s), 21 day(s)];;;;(1874-03-27 - 1891-12-15);6473 days [17 year(s), 8 month(s), 21 day(s)];;;
James William Bain, M.P.;1838-06-22;Saint-Polycarpe, Lower Canada;1909-10-27;merchant;3810 days [10 year(s), 5 month(s), 6 day(s)];(1883-12-27 - 1884-01-15)|(1885-02-05 - 1891-03-04)|(1892-02-03 - 1892-11-11)|(1892-12-13 - 1896-06-22);3810 days [10 year(s), 5 month(s), 6 day(s)];;;;;;
The Hon. Thomas Bain, M.P.;1834-12-14;Denny, Stirlingshire, Scotland;1915-01-18;farmer;10252 days [28 year(s), 25 day(s)];(1872-10-12 - 1896-06-22)|(1896-06-23 - 1900-11-06);10252 days [28 year(s), 25 day(s)];;;;;;
The Hon. Navdeep Singh Bains, P.C., M.P.;1977-06-16;Toronto, Ontario, Canada;;professor, certified management accountant, financial analyst;4662 days [12 year(s), 9 month(s), 5 day(s)];(2004-06-28 - 2011-05-01)|(2015-10-19 - 2021-09-19);4662 days [12 year(s), 9 month(s), 5 day(s)];;;;;;
The Hon. Alexander Boyd Baird, Senator;1891-08-31;St. John's, Newfoundland;1967-11-23 (Died in Office);businessman;6673 days [18 year(s), 3 month(s), 8 day(s)];;;;(1949-08-17 - 1967-11-23);6673 days [18 year(s), 3 month(s), 8 day(s)];;;
George Frederick Baird, M.P.;1851-09-05;Wickham, New Brunswick, Canada;1899-04-29;lawyer;2998 days [8 year(s), 2 month(s), 15 day(s)];(1887-02-22 - 1887-11-24)|(1888-01-18 - 1891-03-04)|(1892-02-25 - 1896-06-22);2998 days [8 year(s), 2 month(s), 15 day(s)];;;;;;
The Hon. George Thomas Baird, Senator;1847-11-03;Andover, New Brunswick, Canada;1917-04-21 (Died in Office);lumber merchant, merchant, postmaster, teacher;7977 days [21 year(s), 10 month(s), 3 day(s)];;;;(1895-06-19 - 1917-04-21);7977 days [21 year(s), 10 month(s), 3 day(s)];;;
The Hon. John Baird, P.C., M.P.;1969-05-26;Nepean, Ontario, Canada;;consultant;3340 days [9 year(s), 1 month(s), 23 day(s)];(2006-01-23 - 2015-03-16);3340 days [9 year(s), 1 month(s), 23 day(s)];;;;;;
Edgar Crow Baker, M.P.;1845-09-16;Lambeth, Surrey, England;1920-11-03;conveyancer, notary, accountant;2509 days [6 year(s), 10 month(s), 14 day(s)];(1882-06-20 - 1889-05-02);2509 days [6 year(s), 10 month(s), 14 day(s)];;;;;;
The Hon. George Baker, P.C., M.P., Senator;1942-09-03;Green's Harbour, Newfoundland, Canada;;editor of hansard, radio & tv announcer & producer, assistant clerk, chief legislative librarian, chief law clerk, chief clerk, title searcher;15764 days [43 year(s), 1 month(s), 28 day(s)];(1974-07-08 - 1988-11-20)|(1988-11-21 - 2002-03-25);10123 days [27 year(s), 8 month(s), 18 day(s)];;(2002-03-26 - 2017-09-03);5641 days [15 year(s), 5 month(s), 10 day(s)];;;
The Hon. George Barnard Baker, M.P., Senator;1834-01-26;Dunham, Lower Canada;1910-02-09 (Died in Office);lawyer;11293 days [30 year(s), 11 month(s), 1 day(s)];(1870-07-05 - 1874-01-21)|(1878-09-17 - 1887-02-21)|(1891-03-05 - 1896-01-06);6146 days [16 year(s), 9 month(s), 28 day(s)];;(1896-01-07 - 1910-02-09);5147 days [14 year(s), 1 month(s), 4 day(s)];;;
George Harold Baker, M.P.;1877-11-04;Sweetsburg, Quebec, Canada;1916-06-03 (Died in Office);lawyer;1718 days [4 year(s), 8 month(s), 14 day(s)];(1911-09-21 - 1916-06-03);1718 days [4 year(s), 8 month(s), 14 day(s)];;;;Only parliamentarian to be killed in action during World War I.;;
Loran Ellis Baker, M.P.;1905-09-21;Yarmouth, Nova Scotia, Canada;1991-05-09;businessman;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;;
Richard Langton Baker, M.P.;1870-05-15;Strathroy, Ontario, Canada;1951-01-03;manufacturer;3850 days [10 year(s), 6 month(s), 15 day(s)];(1925-10-29 - 1926-09-13)|(1930-07-28 - 1935-10-13)|(1935-10-14 - 1940-03-26);3850 days [10 year(s), 6 month(s), 15 day(s)];;;;;;
The Hon. Walter David Baker, P.C., Q.C., M.P.;1930-08-22;Ottawa, Ontario, Canada;1983-11-13 (Died in Office);solicitor, lawyer;4032 days [11 year(s), 14 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1983-11-13);4032 days [11 year(s), 14 day(s)];;;;;;
Yvan Baker, M.P.;1977-12-08;Etobicoke, Ontario, Canada;;management consultant;2382 days [6 year(s), 6 month(s), 8 day(s)];(2019-10-21 - );2382 days [6 year(s), 6 month(s), 8 day(s)];;;;;English, French, Ukrainian;
The Hon. Eleni Bakopanos, P.C., M.P.;1954-05-10;Argos, Greece;;political analyst, policy adviser, public servant;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;First Canadian woman of Hellenic origin elected to the House of Commons.;;
The Hon. Léon Balcer, P.C., M.P.;1917-10-13;Trois-Rivières, Quebec, Canada;1991-03-22;lawyer;5978 days [16 year(s), 4 month(s), 12 day(s)];(1949-06-27 - 1965-11-07);5978 days [16 year(s), 4 month(s), 12 day(s)];;;;;;
